team name,campaign name,partner name,placement name,device type,blocking status,measured impressions,total impressions,% measured,% see-through,% passed,% failed,% failed by content,% failed by geo,% failed by keyword,% failed by blacklist,% failed by language,% fraud,total viewable rate (total net metrics),total viewable display rate (total net metrics),total viewable video rate (total net metrics),% display ads in view (groupm),% video ads in view (groupm),% display ads in view (publicis),% video ads in view (publicis)
N/A,GST_Q1_2018_GDN_PFX,Google Inc,PI~AUTO_PB~GOOG_DA~NONE_YQ~18Q1_BS~RAV4_IT~PPA_CH~SEARCH_TG~BHV_DT~MO_FM~RMBAN_SZ~300X250_AD~AS_AS~DCM_RT~CPC_PK~CPI_CT~RM_PD~|NONE|NONE|NONE|RET|NONE|NONE|NONE,Phone - Browser - Display,Monitoring,289058,308406,0.940463369957,0.974160684293,0.940964183576,0.0590358164238,0.0317438700933,0.00682866092099,0.0173894152513,4.8637186047e-05,0.0,0.00338839062794,0.484030886535,0.484030886535,NULL,0.0,NULL,0.302928647969,NULL
N/A,GST_Q1_2018_HIS_GDN_PFX,Google Inc,PI~AUTO_PB~GOOG_DA~NONE_YQ~18Q1_BS~CRLA_IT~PPA_CH~SEARCH_TG~BHV_DT~MO_FM~RMBAN_SZ~300X250_AD~AS_AS~DCM_RT~CPC_PK~CPI_CT~RM_PD~|NONE|NONE|NONE|RET|NONE|NONE|HIS,Phone - App - Display,Monitoring,284716,296265,0.961018007527,0.996580763843,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.305241012096,0.305241012096,NULL,0.0,NULL,0.0,NULL
N/A,GST_Q1_2018_GDN_PFX,Google Inc,PI~AUTO_PB~GOOG_DA~NONE_YQ~18Q1_BS~CMRY_IT~PPA_CH~SEARCH_TG~BHV_DT~DT_FM~RMBAN_SZ~300X250_AD~AS_AS~DCM_RT~CPC_PK~CPI_CT~RM_PD~|NONE|NONE|NONE|RET|NONE|NONE|NONE,Phone - App - Display,Monitoring,270247,283552,0.953077389685,0.993539103939,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298871032796,0.298871032796,NULL,0.0,NULL,0.0,NULL
N/A,GST_Q1_2018_GDN_PFX,Google Inc,PI~AUTO_PB~GOOG_DA~NONE_YQ~18Q1_BS~4RUN_IT~PPA_CH~SEARCH_TG~BHV_DT~DT_FM~RMBAN_SZ~300X250_AD~AS_AS~DCM_RT~CPC_PK~CPI_CT~RM_PD~|NONE|NONE|NONE|RET|NONE|NONE|NONE,Phone - App - Display,Monitoring,268217,279267,0.960432131258,0.994678927335,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.301807864528,0.301807864528,NULL,0.0,NULL,0.0,NULL
N/A,GST_Q1_2018_GDN_PFX,Google Inc,PI~AUTO_PB~GOOG_DA~NONE_YQ~18Q1_BS~TDRA_IT~PPA_CH~SEARCH_TG~BHV_DT~MO_FM~RMBAN_SZ~300X250_AD~AS_AS~DCM_RT~CPC_PK~CPI_CT~RM_PD~|NONE|NONE|NONE|RET|NONE|NONE|NONE,Phone - App - Display,Monitoring,256784,271771,0.944854307487,0.995176085749,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255977786778,0.255977786778,NULL,0.0,NULL,0.0,NULL
N/A,GST_FY_2018_Precision_Video_AMOB,Vivaki AOD,PI~AUTO_PB~PREC_DA~TRN_YQ~18Q1Q4_BS~RAV4_IT~PMPX_CH~VID_TTG~BHV_DT~MO_FM~VID_SZ~1x1_AD~AS_AS~DCM_RT~CPV_PK~CPCV_CT~VID_PD~|TEADS|AMBDT|NONE|PREFIL|NONE|ENT|06SEC,Phone - Browser - Display,Monitoring,0,265449,0.0,0.682654671896,0.868223274527,0.131776725473,0.0112903043522,0.0103259006438,0.107109086868,4.52064238328e-05,0.0,0.0034884290391,NULL,NULL,NULL,NULL,NULL,NULL,NULL
N/A,GST_Q1_2018_GDN_PFX,Google Inc,PI~AUTO_PB~GOOG_DA~NONE_YQ~18Q1_BS~RAV4_IT~PPA_CH~SEARCH_TG~CQT_DT~DT_FM~RMBAN_SZ~300X250_AD~AS_AS~DCM_RT~CPC_PK~CPI_CT~RM_PD~|NONE|NONE|NONE|NONE|NONE|NONE|NONE,Phone - App - Display,Monitoring,248254,262961,0.944071554337,0.97630827385,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59985740411,0.59985740411,NULL,0.0,NULL,0.0,NULL
N/A,GST_Q1_2018_GDN_PFX,Google Inc,PI~AUTO_PB~GOOG_DA~NONE_YQ~18Q1_BS~CMRY_IT~PPA_CH~SEARCH_TG~BHV_DT~DT_FM~RMBAN_SZ~728x90_AD~AS_AS~DCM_RT~CPC_PK~CPI_CT~RM_PD~|NONE|NONE|NONE|RET|NONE|NONE|NONE,Desktop - Display,Monitoring,213226,258499,0.847210743802,0.929423324655,0.913419394272,0.0865806057277,0.0267428500691,0.0205764819206,0.0162050917025,7.73697383742e-06,0.0,0.026317316508,0.671991220583,0.671991220583,NULL,0.0,NULL,0.416944061134,NULL
N/A,GST_FY_2018_Precision_Video_AMOB,Vivaki AOD,PI~AUTO_PB~PREC_DA~TRN_YQ~18Q1Q4_BS~TRCK_IT~PMPX_CH~VID_TTG~BHV_DT~MO_FM~VID_SZ~1x1_AD~AS_AS~DCM_RT~CPV_PK~CPCV_CT~VID_PD~|TEADS|AMBDT|NONE|PREFIL|NONE|ENT|06SEC,Phone - Browser - Display,Monitoring,0,249397,0.0,0.688051580412,0.856798598219,0.143201401781,0.0107940352129,0.0102206522131,0.11905917072,0.000156377181762,0.0,0.00346034635541,NULL,NULL,NULL,NULL,NULL,NULL,NULL
N/A,GST_Q1_2018_GDN_PFX,Google Inc,PI~AUTO_PB~GOOG_DA~NONE_YQ~18Q1_BS~RAV4_IT~PPA_CH~SEARCH_TG~BHV_DT~DT_FM~RMBAN_SZ~728x90_AD~AS_AS~DCM_RT~CPC_PK~CPI_CT~RM_PD~|NONE|NONE|NONE|RET|NONE|NONE|NONE,Desktop - Display,Monitoring,190583,233561,0.837381477543,0.938500006422,0.912682339945,0.0873176600545,0.0251583098206,0.0250213006452,0.0162612764974,8.56307345833e-06,0.0,0.0253937943407,0.664650047486,0.664650047486,NULL,0.0,NULL,0.405828866283,NULL
N/A,GST_Q1_2018_GDN_PFX,Google Inc,PI~AUTO_PB~GOOG_DA~NONE_YQ~18Q1_BS~TDRA_IT~PPA_CH~SEARCH_TG~CQT_DT~MO_FM~RMBAN_SZ~320x50_AD~AS_AS~DCM_RT~CPC_PK~CPI_CT~RM_PD~|NONE|NONE|NONE|NONE|NONE|NONE|NONE,Phone - App - Display,Monitoring,221125,231374,0.955703752366,0.975122528893,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.493842849067,0.493842849067,NULL,0.0,NULL,0.0,NULL
N/A,GST_Q1_2018_GDN_PFX,Google Inc,PI~AUTO_PB~GOOG_DA~NONE_YQ~18Q1_BS~CMRY_IT~PPA_CH~SEARCH_TG~BHV_DT~DT_FM~RMBAN_SZ~300X250_AD~AS_AS~DCM_RT~CPC_PK~CPI_CT~RM_PD~|NONE|NONE|NONE|RET|NONE|NONE|NONE,Phone - Browser - Display,Monitoring,211114,222832,0.950694172375,0.974155417534,0.950375170532,0.0496248294679,0.0249649960508,0.00692898686006,0.0145401019602,2.69261147412e-05,0.0,0.00342410425792,0.490095398695,0.490095398695,NULL,0.0,NULL,0.310086425647,NULL
N/A,GST_Q1_2018_HIS_GDN_PFX,Google Inc,PI~AUTO_PB~GOOG_DA~NONE_YQ~18Q1_BS~CRLA_IT~PPA_CH~SEARCH_TG~BHV_DT~DT_FM~RMBAN_SZ~300X250_AD~AS_AS~DCM_RT~CPC_PK~CPI_CT~RM_PD~|NONE|NONE|NONE|RET|NONE|NONE|HIS,Phone - App - Display,Monitoring,209487,219409,0.954778518657,0.99619432202,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265940129936,0.265940129936,NULL,0.0,NULL,0.0,NULL
N/A,GST_Q1_2018_GDN_PFX,Google Inc,PI~AUTO_PB~GOOG_DA~NONE_YQ~18Q1_BS~HGLR_IT~PPA_CH~SEARCH_TG~BHV_DT~DT_FM~RMBAN_SZ~300X250_AD~AS_AS~DCM_RT~CPC_PK~CPI_CT~RM_PD~|NONE|NONE|NONE|RET|NONE|NONE|NONE,Phone - Browser - Display,Monitoring,204955,216824,0.948452988051,0.980048334133,0.949784156735,0.0502158432646,0.0261686898129,0.00657215068443,0.0143249824743,6.91805335203e-05,0.0,0.00334833782238,0.498163011393,0.498163011393,NULL,0.0,NULL,0.314784396976,NULL
N/A,GST_Q1_2018_GDN_PFX,Google Inc,PI~AUTO_PB~GOOG_DA~NONE_YQ~18Q1_BS~TCMA_IT~PPA_CH~SEARCH_TG~BHV_DT~DT_FM~RMBAN_SZ~300X250_AD~AS_AS~DCM_RT~CPC_PK~CPI_CT~RM_PD~|NONE|NONE|NONE|RET|NONE|NONE|NONE,Phone - Browser - Display,Monitoring,205231,216018,0.953299115126,0.983691173884,0.953216861558,0.0467831384422,0.0230258589562,0.00726791285911,0.0133831439973,2.31462192965e-05,0.0,0.00334694331028,0.492016313325,0.492016313325,NULL,0.0,NULL,0.30109193845,NULL
N/A,GST_Q1_2018_GDN_PFX,Google Inc,PI~AUTO_PB~GOOG_DA~NONE_YQ~18Q1_BS~CMRY_IT~PPA_CH~SEARCH_TG~BHV_DT~MO_FM~RMBAN_SZ~320x50_AD~AS_AS~DCM_RT~CPC_PK~CPI_CT~RM_PD~|NONE|NONE|NONE|RET|NONE|NONE|NONE,Phone - Browser - Display,Monitoring,205184,214902,0.958346956124,0.958418255763,0.959991065695,0.0400089343049,0.0188923323189,0.00733822858791,0.0102791039637,4.18795544015e-05,0.0,0.00369005407116,0.622285363381,0.622285363381,NULL,0.0,NULL,0.534056086862,NULL
N/A,GST_Q1_2018_GDN_PFX,Google Inc,PI~AUTO_PB~GOOG_DA~NONE_YQ~18Q1_BS~TCMA_IT~PPA_CH~SEARCH_TG~BHV_DT~MO_FM~RMBAN_SZ~320x50_AD~AS_AS~DCM_RT~CPC_PK~CPI_CT~RM_PD~|NONE|NONE|NONE|RET|NONE|NONE|NONE,Phone - Browser - Display,Monitoring,198071,208500,0.954549835664,0.935352517986,0.952302158273,0.0476978417266,0.0250791366906,0.00860431654676,0.00931894484412,0.000215827338129,0.0,0.00470503597122,0.621524604813,0.621524604813,NULL,0.0,NULL,0.527073157755,NULL
N/A,GST_Q1_2018_GDN_PFX,Google Inc,PI~AUTO_PB~GOOG_DA~NONE_YQ~18Q1_BS~TCMA_IT~PPA_CH~SEARCH_TG~BHV_DT~MO_FM~RMBAN_SZ~300X250_AD~AS_AS~DCM_RT~CPC_PK~CPI_CT~RM_PD~|NONE|NONE|NONE|RET|NONE|NONE|NONE,Phone - Browser - Display,Monitoring,193004,203989,0.949411672111,0.982758874253,0.954953453372,0.0450465466275,0.0217070528313,0.00702979082205,0.0131477677718,2.94133507199e-05,0.0,0.00339724200815,0.490699674618,0.490699674618,NULL,0.0,NULL,0.294941224187,NULL
N/A,GST_Q1_2018_HIS_GDN_PFX,Google Inc,PI~AUTO_PB~GOOG_DA~NONE_YQ~18Q1_BS~RAV4_IT~PPA_CH~SEARCH_TG~BHV_DT~MO_FM~RMBAN_SZ~300X250_AD~AS_AS~DCM_RT~CPC_PK~CPI_CT~RM_PD~|NONE|NONE|NONE|RET|NONE|NONE|HIS,Phone - App - Display,Monitoring,195403,202386,0.965496625261,0.997233010188,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.398038924684,0.398038924684,NULL,0.0,NULL,0.0,NULL
